frame,time_s,object_id,reference_id,x_relative,y_relative,depth_difference_raw,status,role
36,2.4,water-bottle,phone,-0.4465887547099698,-0.2072958887600272,6.114150047302246,RELATIVE_UNVALIDATED_IDENTITY,moving_measured
36,2.4,moisturizer,phone,0.08062907656278151,0.059579764609656305,0.9974870681762695,RELATIVE_UNVALIDATED_IDENTITY,moving_measured
37,2.466666666666667,phone,phone,0.0,0.0,0.0,RELATIVE_UNVALIDATED_IDENTITY,moving_measured
37,2.466666666666667,water-bottle,phone,-0.4335689304062347,-0.19340372734363342,5.988898754119873,RELATIVE_UNVALIDATED_IDENTITY,moving_measured
37,2.466666666666667,moisturizer,phone,0.08111653495771731,0.05944791243944192,0.9886507987976074,RELATIVE_UNVALIDATED_IDENTITY,moving_measured
38,2.533333333333333,phone,phone,0.0,0.0,0.0,RELATIVE_UNVALIDATED_IDENTITY,moving_measured
38,2.533333333333333,water-bottle,phone,-0.4212431472698291,-0.17890899418635142,5.160562992095947,RELATIVE_UNVALIDATED_IDENTITY,moving_measured
38,2.533333333333333,moisturizer,phone,0.08165367859645656,0.05968939450991584,0.9839553833007812,RELATIVE_UNVALIDATED_IDENTITY,moving_measured
39,2.6,phone,phone,0.0,0.0,0.0,RELATIVE_UNVALIDATED_IDENTITY,moving_measured
39,2.6,water-bottle,phone,-0.40949804773382903,-0.16449790690091587,4.932183742523193,RELATIVE_UNVALIDATED_IDENTITY,moving_measured
39,2.6,moisturizer,phone,0.08160862321310469,0.060911274180217245,1.0172905921936035,RELATIVE_UNVALIDATED_IDENTITY,moving_measured
40,2.6666666666666665,phone,phone,0.0,0.0,0.0,RELATIVE_UNVALIDATED_IDENTITY,moving_measured
40,2.6666666666666665,water-bottle,phone,-0.40135021115847047,-0.15130876098302937,4.748025417327881,RELATIVE_UNVALIDATED_IDENTITY,moving_measured
40,2.6666666666666665,moisturizer,phone,0.08121104972160231,0.06202613130203727,1.0073180198669434,RELATIVE_UNVALIDATED_IDENTITY,moving_measured
41,2.7333333333333334,phone,phone,0.0,0.0,0.0,RELATIVE_UNVALIDATED_IDENTITY,moving_measured
41,2.7333333333333334,water-bottle,phone,-0.3953102736730484,-0.13827174993470032,4.502711296081543,RELATIVE_UNVALIDATED_IDENTITY,moving_measured
41,2.7333333333333334,moisturizer,phone,0.08101061475103444,0.06222627991652474,1.0038251876831055,RELATIVE_UNVALIDATED_IDENTITY,moving_measured
42,2.8,phone,phone,0.0,0.0,0.0,RELATIVE_UNVALIDATED_IDENTITY,moving_measured
42,2.8,water-bottle,phone,-0.38906971346148833,-0.12490060249419183,4.816892623901367,RELATIVE_UNVALIDATED_IDENTITY,moving_measured
42,2.8,moisturizer,phone,0.0819615776350533,0.06176755122071009,1.0158624649047852,RELATIVE_UNVALIDATED_IDENTITY,moving_measured
43,2.8666666666666667,phone,phone,0.0,0.0,0.0,RELATIVE_UNVALIDATED_IDENTITY,moving_measured
43,2.8666666666666667,water-bottle,phone,-0.3861480511713764,-0.11111991365333851,5.234402179718018,RELATIVE_UNVALIDATED_IDENTITY,moving_measured
43,2.8666666666666667,moisturizer,phone,0.08278707867605228,0.06113693266280229,1.0288310050964355,RELATIVE_UNVALIDATED_IDENTITY,moving_measured
44,2.933333333333333,phone,phone,0.0,0.0,0.0,RELATIVE_UNVALIDATED_IDENTITY,moving_measured
44,2.933333333333333,water-bottle,phone,-0.38099193585418845,-0.09794460828587542,5.710978984832764,RELATIVE_UNVALIDATED_IDENTITY,moving_measured
44,2.933333333333333,moisturizer,phone,0.08431483992199262,0.06107901135812421,1.0544071197509766,RELATIVE_UNVALIDATED_IDENTITY,moving_measured
